"ZCTA5CE10","pc_park"
"43451",0.743
"43452",14.26
"43456",25.476
"43457",0.146
"43458",0
"43460",1.077
"43462",0.454
"43463",0
"43464",16.873
"43465",0.271
"43466",0.066
"43467",0
"43468",0
"97824",53.936
"97825",69.57
"97826",0.394
"97827",12.941
"97828",37.93
"97830",10.847
"97833",20.182
"97834",68.666
"97835",1.781
"97836",6.443
"97837",15.518
"97838",11.781
"97839",0.031
"97840",64.81
"97841",0
"97842",95.199
"97843",2.946
"97844",23.51
"97845",3.572
"97846",59.956
"97848",39.804
"97850",15.4
"97856",18.776
"97857",76.696
"97859",27.961
"97862",14.11
"97864",42.546
"97865",41.825
"97867",14.633
"97868",2.561
"97869",61.715
"97870",41.585
"97873",42.33
"97874",15.433
"97875",0.143
"97876",20.15
"97877",91.036
"97880",50.169
"97882",17.16
"97883",60.321
"94118",18.598
"94121",45.076
"94122",2.081
"94123",14.475
"94124",11.18
"94127",7.716
"94128",0
"94129",97.76
"94130",24.049
"94131",20.671
"94132",36.618
"39531",2.002
"42409",0.107
"42410",0.342
"48755",0.871
"42411",0
"42413",0.001
"48756",6.305
"48757",1.275
"39532",19.654
"39534",0
"48759",1.798
"39540",0.306
"48760",0.89
"48761",69.476
"48762",4.385
"39553",28.858
"42420",1.744
"39556",1.538
"48763",17.958
"48765",8.951
"48766",14.144
"39560",0.104
"48767",7.149
"39561",37.373
"42431",2.496
"42436",0
"48768",4.454
"48770",3.075
"39562",11.426
"42437",4.709
"95825",4.177
"95826",7.029
"95827",5.627
"95828",2.631
"95829",2.698
"95830",4.135
"95831",4.625
"95832",19.109
"95833",7.369
"33573",23.462
"37336",7.39
"33576",4.413
"37337",0.714
"37338",4.47
"37339",18.043
"37340",0.736
"33578",1.229
"37341",13.68
"33579",17.613
"37342",3.681
"33584",0.978
"33585",0
"33592",57.763
"37343",9.158
"37345",0.981
"33594",0.292
"33596",5.09
"37347",5.099
"37348",0
"37350",10.834
"61820",3.394
"53406",3.556
"53501",0
"53502",7.02
"53503",5.049
