zipcode,zipcode
10001.0,911
10002.0,2265
10003.0,2025
10004.0,118
10005.0,144
10006.0,53
10007.0,355
10009.0,1924
10010.0,889
10011.0,2134
10012.0,1076
10013.0,1202
10014.0,2591
10016.0,1872
10017.0,848
10018.0,485
10019.0,1715
10020.0,94
10021.0,1959
10022.0,1627
10023.0,2260
10024.0,3311
10025.0,3696
10026.0,1829
10027.0,2992
10028.0,1806
10029.0,2423
10030.0,1365
10031.0,2587
10032.0,2217
10033.0,1971
10034.0,1574
10035.0,2010
10036.0,894
10037.0,698
10038.0,374
10039.0,801
10040.0,1560
10048.0,12
10065.0,1911
10069.0,119
10075.0,899
10111.0,25
10115.0,7
10128.0,2136
10280.0,418
10281.0,72
10282.0,234
10301.0,6034
10302.0,2369
10303.0,3238
10304.0,5855
10305.0,6855
10306.0,13030
10307.0,5451
10308.0,7116
10309.0,12650
10310.0,3629
10312.0,22186
10314.0,16905
10451.0,2450
10452.0,3320
10453.0,3050
10454.0,1755
10455.0,2044
10456.0,4085
10457.0,4175
10458.0,3405
10459.0,3078
10460.0,3261
10461.0,5636
10462.0,4234
10463.0,3723
10464.0,1062
10465.0,5183
10466.0,5088
10467.0,4355
10468.0,2990
10469.0,6710
10470.0,1388
10471.0,1903
10472.0,3430
10473.0,4369
10474.0,2644
10475.0,1865
11001.0,1371
11004.0,4130
11005.0,168
11040.0,865
11096.0,9
11101.0,3387
11102.0,1742
11103.0,2376
11104.0,1664
11105.0,3925
11106.0,1964
11109.0,92
11201.0,4514
11203.0,5141
11204.0,4731
11205.0,2640
11206.0,4068
11207.0,8634
11208.0,8245
11209.0,6201
11210.0,5452
11211.0,4143
11212.0,4205
11213.0,3652
11214.0,4341
11215.0,6360
11216.0,3512
11217.0,3244
11218.0,4868
11219.0,4463
11220.0,4677
11221.0,5098
11222.0,3704
11223.0,5981
11224.0,1949
11225.0,2868
11226.0,3875
11228.0,3785
11229.0,6099
11230.0,7336
11231.0,3660
11232.0,2110
11233.0,4732
11234.0,11253
11235.0,5157
11236.0,6859
11237.0,2948
11238.0,3872
11239.0,988
11249.0,1842
11251.0,93
11354.0,5824
11355.0,5287
11356.0,3099
11357.0,9449
11358.0,6928
11360.0,2498
11361.0,6181
11362.0,4429
11363.0,2851
11364.0,7054
11365.0,7428
11366.0,3013
11367.0,5221
11368.0,4346
11369.0,3296
11370.0,3179
11371.0,129
11372.0,3295
11373.0,4204
11374.0,3084
11375.0,7059
11377.0,5651
11378.0,4033
11379.0,4893
11385.0,10937
11411.0,3229
11412.0,4697
11413.0,7470
11414.0,4650
11415.0,1743
11416.0,1790
11417.0,3666
11418.0,3391
11419.0,2805
11420.0,5494
11421.0,2855
11422.0,6324
11423.0,3591
11426.0,5121
11427.0,4377
11428.0,2838
11429.0,2912
11430.0,37
11432.0,6958
11433.0,3745
11434.0,8274
11435.0,4595
11436.0,2407
11451.0,12
11691.0,5718
11692.0,2013
11693.0,1169
11694.0,3572
11697.0,30
