zip_code,latitude_centroid,longitude_centroid,city,state_abbr,state_name,zcta,parent_zcta,population,density,county_fips,county_name,timezone
601,18.18027,-66.75266,Adjuntas,PR,Puerto Rico,True,,16773.0,100.5,72001,Adjuntas,America/Puerto_Rico
602,18.36075,-67.17541,Aguada,PR,Puerto Rico,True,,37083.0,472.1,72003,Aguada,America/Puerto_Rico
603,18.45744,-67.12225,Aguadilla,PR,Puerto Rico,True,,45652.0,513.2,72005,Aguadilla,America/Puerto_Rico
606,18.16585,-66.93716,Maricao,PR,Puerto Rico,True,,6231.0,54.3,72093,Maricao,America/Puerto_Rico
610,18.2911,-67.12243,Anasco,PR,Puerto Rico,True,,26502.0,275.7,72011,Añasco,America/Puerto_Rico
611,18.27698,-66.80688,Angeles,PR,Puerto Rico,True,,,,72141,Utuado,America/Puerto_Rico
612,18.41283,-66.7051,Arecibo,PR,Puerto Rico,True,,58771.0,298.0,72013,Arecibo,America/Puerto_Rico
616,18.41878,-66.6679,Bajadero,PR,Puerto Rico,True,,9688.0,343.7,72013,Arecibo,America/Puerto_Rico
617,18.44598,-66.56006,Barceloneta,PR,Puerto Rico,True,,23771.0,500.0,72017,Barceloneta,America/Puerto_Rico
622,17.98892,-67.1566,Boqueron,PR,Puerto Rico,True,,6505.0,80.6,72023,Cabo Rojo,America/Puerto_Rico
623,18.08429,-67.15336,Cabo Rojo,PR,Puerto Rico,True,,41472.0,408.5,72023,Cabo Rojo,America/Puerto_Rico
624,18.05905,-66.71932,Penuelas,PR,Puerto Rico,True,,21031.0,172.9,72111,Peñuelas,America/Puerto_Rico
627,18.41905,-66.86037,Camuy,PR,Puerto Rico,True,,31066.0,258.7,72027,Camuy,America/Puerto_Rico
631,18.1852,-66.83169,Castaner,PR,Puerto Rico,True,,1481.0,182.9,72081,Lares,America/Puerto_Rico
636,18.16354,-67.08014,Rosario,PR,Puerto Rico,True,,,,72125,San Germán,America/Puerto_Rico
637,18.081,-66.94659,Sabana Grande,PR,Puerto Rico,True,,21957.0,241.0,72121,Sabana Grande,America/Puerto_Rico
638,18.28462,-66.5137,Ciales,PR,Puerto Rico,True,,16018.0,86.6,72039,Ciales,America/Puerto_Rico
641,18.26742,-66.70212,Utuado,PR,Puerto Rico,True,,26383.0,121.1,72141,Utuado,America/Puerto_Rico
646,18.43251,-66.28429,Dorado,PR,Puerto Rico,True,,36538.0,670.1,72051,Dorado,America/Puerto_Rico
647,17.96667,-66.94266,Ensenada,PR,Puerto Rico,True,,5708.0,139.4,72055,Guánica,America/Puerto_Rico
650,18.34487,-66.58347,Florida,PR,Puerto Rico,True,,13869.0,168.8,72054,Florida,America/Puerto_Rico
652,18.45614,-66.60194,Garrochales,PR,Puerto Rico,True,,3624.0,217.2,72013,Arecibo,America/Puerto_Rico
653,17.99413,-66.90266,Guanica,PR,Puerto Rico,True,,10117.0,176.9,72055,Guánica,America/Puerto_Rico
